,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness (%),Wind Speed (m/s),Country,Date
0,Dikson,73.51,80.55,-21.33,86,100,22.57,RU,1608243176
1,Tarauacá,-8.16,-70.77,87.57,55,47,1.77,BR,1608243176
2,Azare,11.68,10.19,69.66,23,49,7.43,NG,1608243177
3,Madera,37.17,-119.83,48.0,87,53,5.99,US,1608243177
4,Punta Arenas,-53.15,-70.92,55.4,43,0,32.21,CL,1608242972
5,Yerbogachën,61.28,108.01,-5.53,90,100,6.76,RU,1608243177
6,Avarua,-21.21,-159.78,84.2,79,100,13.87,CK,1608243177
7,Ambovombe,-25.17,46.08,75.9,84,20,4.32,MG,1608243177
8,Kamyshlov,56.84,62.71,20.16,95,100,9.91,RU,1608243177
9,Hilo,19.73,-155.09,78.8,69,20,6.93,US,1608243164
10,Taree,-31.9,152.47,82.99,100,1,2.24,AU,1608242947
11,Buala,-8.14,159.59,84.36,74,87,4.79,SB,1608243177
12,Cherskiy,68.75,161.3,-22.68,87,66,3.49,RU,1608243177
13,Yellowknife,62.46,-114.35,-31.0,66,90,8.05,CA,1608243003
14,Diu,20.71,70.98,66.34,49,18,12.5,IN,1608243178
15,Port Alfred,-33.59,26.89,68.0,93,72,1.01,ZA,1608243178
16,Castro Urdiales,43.38,-3.22,53.01,70,0,5.82,ES,1608243180
17,Busselton,-33.65,115.33,55.99,84,6,3.0,AU,1608243055
18,Lüderitz,-26.65,15.16,66.2,72,0,17.22,NA,1608243181
19,Si Sa Ket,14.83,104.33,68.0,76,94,5.91,TH,1608243181
20,Souillac,-20.52,57.52,77.0,88,75,14.99,MU,1608243181
21,Burley,42.54,-113.79,35.6,80,90,8.05,US,1608243181
22,Albany,42.6,-73.97,21.0,78,95,5.06,US,1608243037
23,Upernavik,72.79,-56.15,10.24,82,69,3.53,GL,1608243181
24,Aklavik,68.22,-135.01,-34.6,65,20,3.36,CA,1608243181
25,Shellbrook,53.22,-106.4,17.6,78,90,13.87,CA,1608243182
26,Rikitea,-23.12,-134.97,77.56,74,91,17.36,PF,1608243182
27,Elliot,-31.33,27.85,58.84,94,83,2.89,ZA,1608243182
28,Tasiilaq,65.61,-37.64,17.6,67,23,2.24,GL,1608243039
29,Ranong,9.97,98.63,75.7,85,99,4.12,TH,1608243184
30,Santiago del Estero,-27.8,-64.26,93.0,39,54,10.0,AR,1608243091
31,Mataura,-46.19,168.86,66.0,77,100,1.01,NZ,1608243184
32,Birao,10.28,22.79,68.0,25,80,6.33,CF,1608243184
33,Butaritari,3.07,172.79,81.48,80,95,13.18,KI,1608243184
34,New Norfolk,-42.78,147.06,59.0,73,88,4.0,AU,1608243184
35,Sitka,57.05,-135.33,41.0,80,90,18.34,US,1608243184
36,Marabu,4.41,114.01,75.2,100,40,5.59,MY,1608243184
37,Sisimiut,66.94,-53.67,18.12,93,100,4.79,GL,1608243185
38,Antofagasta,-23.65,-70.4,68.0,72,75,19.46,CL,1608242898
39,Chui,-33.7,-53.46,72.37,79,1,11.74,UY,1608243185
